Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,4's,6's,Highest Run Scored,Balls  Bowled,Runs Scored,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age,Type
151,Rinku Singh,KKR,IND,29,31,93.5,4,0,16,0,0,-,0,6,0,4,20,BAT
152,Rishabh Pant,DD,IND,684,394,173.6,68,37,128,0,0,-,0,6,1.9,14,21,WK
153,Robin Uthappa,KKR,IND,351,265,132.5,30,21,54,0,0,-,0,5,0,16,32,WK
154,Rohit Sharma,MI,IND,286,215,133,25,12,94,0,0,-,0,8,0,14,31,BAT
155,Sachin Baby,SRH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,29,BAT
156,Sam Billings,CSK,ENG,108,78,138.5,8,5,56,0,0,-,0,5,0,10,27,WK
157,Sandeep Lamichhane,DD,NEP,0,0,-,0,0,0,72,82,6.8,5,0,0,3,18,Bowl
158,Sandeep Sharma,SRH,IND,0,4,0,0,0,0,264,333,7.6,12,2,1.8,12,25,Bowl
159,Sanju Samson,RR,IND,441,320,137.8,30,19,92,0,0,-,0,5,0,15,23,WK
160,Sarfaraz Khan,RCB,IND,51,41,124.4,7,1,22,0,0,-,0,2,0,7,20,BAT
161,Saurabh Tiwary,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,28,BAT
162,Sayan Ghosh,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,26,Bowl
163,Shahbaz Nadeem,DD,IND,6,8,75,0,0,6,90,161,10.7,3,1,0,6,29,Bowl
164,Shakib Al Hasan,SRH,BAN,239,197,121.3,26,5,35,342,456,8,14,3,0,17,31,AR
165,Shane Watson,CSK,AUS,555,359,154.6,44,35,117,168,251,9,6,3,0.5,15,37,AR
166,Sharad Lumba,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,29,BAT
167,Shardul Thakur,CSK,IND,15,5,300,3,0,15,280,431,9.2,16,5,0,13,26,Bowl
168,Shikhar Dhawan,SRH,IND,497,363,136.9,59,14,92,0,0,-,0,12,0.3,16,32,BAT
169,Shivam Mavi,KKR,IND,13,15,86.7,1,0,7,168,270,9.6,5,4,1,9,19,AR
170,Shreevats Goswami,SRH,IND,52,40,130,6,1,35,0,0,-,0,6,0.9,6,29,WK
171,Shreyas Gopal,RR,IND,50,45,111.1,5,0,24,186,236,7.6,11,3,0,11,25,Bowl
172,Shreyas Iyer,DD,IND,411,310,132.6,29,21,93,0,0,-,0,4,0.5,14,23,BAT
173,Shubman Gill,KKR,IND,203,139,146,22,5,57,0,0,-,0,3,0.5,13,19,BAT
174,Siddarth Kaul,SRH,IND,3,14,21.4,0,0,2,396,547,8.3,21,2,0.3,17,28,Bowl
175,Siddhesh Lad,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,26,BAT
176,Steven Smith,RR,WI,0,0,-,0,0,0,0,0,-,0,0,0,0,29,BAT
177,Stuart Binny,RR,IND,44,39,112.8,2,2,22,12,33,16.5,0,1,0.5,7,34,AR
178,Sunil Narine,KKR,WI,357,188,189.9,40,23,75,366,467,7.7,17,1,0,16,30,Bowl
179,Suresh Raina,CSK,IND,445,336,132.4,46,12,75,0,0,-,0,9,1.5,15,31,BAT
180,Suryakumar Yadav,MI,IND,512,384,133.3,61,16,72,0,0,-,0,8,1.5,14,28,BAT
181,Syed Khaleel Ahmed,SRH,IND,0,0,-,0,0,0,18,38,12.7,0,0,0,1,20,Bowl
182,T Natarajan,SRH,IND,0,0,-,0,0,0,0,0,,0,0,0,0,27,Bowl
183,Tajinder Singh,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,26,AR
184,Tanmay Agarwal,SRH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,23,BAT
185,Tim Southee,RCB,NZ,52,46,113,5,1,36,174,261,9,5,3,1,8,29,Bowl
186,Tom Curran,KKR,ENG,23,28,82.1,3,0,18,61,118,11.6,6,1,0,5,23,AR
187,Trent Boult,DD,NZ,0,2,0,0,0,0,316,466,8.8,18,9,1,14,29,Bowl
188,Umesh Yadav,RCB,IND,3,11,27.3,0,0,1,319,418,7.9,20,2,1.5,14,30,Bowl
189,Vijay Shankar,DD,IND,212,148,143.2,11,11,54,30,58,11.6,1,6,1.3,13,27,AR
190,Vinay Kumar,KKR,IND,6,3,200,1,0,6,23,65,17,2,1,0,2,34,Bowl
191,Virat Kohli,RCB,IND,530,381,139.1,52,18,92,0,0,-,0,8,1,14,29,BAT
192,Washington Sundar,RCB,IND,65,38,171.1,5,4,35,120,192,9.6,4,0,0,7,19,AR
193,Wriddhiman Saha,SRH,IND,122,102,119.6,17,1,35,0,0,-,0,6,2.5,11,33,WK
194,Yousuf Pathan,SRH,IND,260,200,130,22,11,45,12,14,7,1,3,0.5,15,35,BAT
195,Yuvraj Singh,KXI,IND,65,73,89,6,2,20,12,23,11.5,0,1,0,8,36,AR
196,Yuzvendra Chahal,RCB,IND,0,4,0,0,0,0,300,363,7.3,12,2,0,14,28,Bowl
197,Zahir Khan,RR,AFG,0,0,-,0,0,0,0,0,-,0,0,0,0,19,Bowl
