Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,Four,Six,Highest Run Scored,BallsBowled,RunsConceded,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age
149,MS Dhoni,CSK,IND,398,238,167.2,29,20,67,0,0,-,0,15,2.5,17,31
150,Munaf Patel,MI,IND,0,0,-,0,0,0,90,137,9.1,3,0,0,4,29
151,Murali Kartik,BRC,IND,2,3,66.7,0,0,2,234,284,7.3,10,4,0,11,36
152,Murali Vijay,CSK,IND,294,266,110.5,25,8,55,0,0,-,0,8,0,14,29
153,Muralidharen Gautam,DD,IND,44,34,129.4,4,1,30,0,0,-,0,0,0,3,27
154,Muttiah Muralitharan,BRC,SL,0,0,-,0,0,0,138,177,7.7,3,1,0.5,6,40
155,Naman Ojha,DD,IND,9,10,90,1,0,9,0,0,-,0,1,0,2,29
156,Nathan Coulter-Nile,MI,AUS,9,6,150,0,1,9,24,29,7.3,1,1,0,1,25
157,Nathan McCullum,SH,NZ,0,0,-,0,0,0,0,0,-,0,0,0,0,32
158,Nitin Saini,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24
159,Nuwan Kulasekara,CSK,SL,0,0,-,0,0,0,0,0,-,0,0,0,0,30
160,Owais Shah,RR,ENG,25,23,108.7,2,0,24,0,0,-,0,0,0,2,34
161,P Dogra,KKR,IND,5,8,62.5,0,0,5,0,0,-,0,1,0,1,1
162,Padmanabhan Prasanth,SH,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,27
163,Pankaj Singh,BRC,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,28
164,Parthiv Patel,SH,IND,294,255,115.3,37,4,61,0,0,-,0,8,1.5,13,28
165,Parvez Rasool,PWI,IND,5,9,55.6,0,0,4,30,28,5.6,1,0,0,2,24
166,Parvinder Awana,KXI,IND,1,9,11.1,0,0,1,324,412,7.6,15,1,0,14,26
167,Paul Valthaty,KXI,IND,6,17,35.3,0,0,6,0,0,-,0,0,0,1,29
168,Pawan Negi,DD,IND,0,0,-,0,0,0,24,28,7,0,0,0,1,20
169,Pawan Suyal,MI,IND,0,0,-,0,0,0,18,21,7,1,1,0,1,23
170,Phillip Hughes,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24
171,Piyush Chawla,KXI,IND,64,57,112.3,5,3,23,350,418,7.2,11,1,0,16,24
