Sl.no,Player's Name,Team,From,Run,Ball,Strike Rate,Four,Six,Highest Run Scored,Balls Bowled,Runs Conceded,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age,Type
24,Avesh Khan,RCB,IND,0,0,-,0,0,0,24,23,5.8,1,0,0,1,20,Bowl
25,Axar Patel,KXI,IND,227,162,140.1,11,11,44,288,362,7.5,15,7,0.5,14,23,AR
26,Baba Aparajith,RPS,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,23,BAT
27,Barinder Sran,SH,IND,0,0,-,0,0,0,12,29,14.5,0,0,0,1,24,Bowl
28,Basil Thampi,GL,IND,28,28,100,1,1,13,268,424,9.5,11,2,1,12,24,Bowl
29,Ben Cutting,SH,AUS,51,26,196.2,5,3,20,76,123,9.7,1,1,1,4,30,AR
30,Ben Laughlin,SH,AUS,0,0,-,0,0,0,0,0,-,0,0,0,0,35,Bowl
31,Ben Stokes,RPS,ENG,316,221,143,22,15,103,264,316,7.2,12,5,1.5,12,26,AR
32,Bhuvneshwar Kumar,SH,IND,4,4,100,0,0,4,314,369,7.1,26,4,1.5,14,27,Bowl
33,Billy Stanlake,RCB,AUS,0,0,-,0,0,0,48,70,8.8,2,1,0,2,22,Bowl
34,Bipul Sharma,SH,IND,31,24,129.2,2,1,21,98,129,7.9,3,1,1,7,34,Bowl
35,Brendon McCullum,GL,NZ,319,217,147,29,18,72,0,0,-,0,8,1,11,36,BAT
36,Carlos Brathwaite,DD,WI,12,15,80,2,0,11,36,67,11.2,1,1,0,2,29,AR
37,Chama Milind,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,23,Bowl
38,Chirag Suri,GL,UAE,0,0,-,0,0,0,0,0,-,0,0,0,0,22,BAT
